Tuổi,Nghỉ_việc,Tần_suất_công_tác,Mức_tính_theo_ngày,Phòng_ban,Khoảng_cách_từ_nhà,Trình_độ_học_vấn,Chuyên_ngành_đào_tạo,Số_lượng_nhân_viên,Mã_nhân_viên,Mức_hài_lòng_môi_trường,Giới_tính,Mức_tính_theo_giờ,Mức_độ_gắn_kết_công_việc,Cấp_bậc_công_việc,Vai_trò_công_việc,Mức_hài_lòng_công_việc,Tình_trạng_hôn_nhân,Thu_nhập_hàng_tháng,Mức_tính_theo_tháng,Số_công_ty_đã_làm,Trên_18_tuổi,Làm_thêm_giờ,Tỷ_lệ_tăng_lương_phần_trăm,Đánh_giá_hiệu_suất,Mức_hài_lòng_mối_quan_hệ,Số_giờ_tiêu_chuẩn,Mức_quyền_chọn_cổ_phiếu,Tổng_số_năm_làm_việc,Số_lần_đào_tạo_năm_trước,Cân_bằng_công_việc_cuộc_sống,Số_năm_tại_công_ty,Số_năm_ở_vai_trò_hiện_tại,Số_năm_từ_lần_thăng_chức_gần_nhất,Số_năm_làm_với_quản_lý_hiện_tại
41,Có,Ít_khi_công_tác,1102,Kinh_doanh,1,2,Khoa_học_sự_sống,1,1,2,Nữ,94,3,2,Chuyên_viên_kinh_doanh,4,Độc_thân,5993,19479,8,Có,Có,11,3,1,80,0,8,0,1,6,4,0,5
49,Không,Thường_xuyên_công_tác,279,Nghiên_cứu_và_Phát_triển,8,1,Khoa_học_sự_sống,1,2,3,Nam,61,2,2,Nhà_nghiên_cứu_khoa_học,2,Đã_kết_hôn,5130,24907,1,Có,Không,23,4,4,80,1,10,3,3,10,7,1,7
37,Có,Ít_khi_công_tác,1373,Nghiên_cứu_và_Phát_triển,2,2,Khác,1,4,4,Nam,92,2,1,Kỹ_thuật_viên_phòng_thí_nghiệm,3,Độc_thân,2090,2396,6,Có,Có,15,3,2,80,0,7,3,3,0,0,0,0
33,Không,Thường_xuyên_công_tác,1392,Nghiên_cứu_và_Phát_triển,3,4,Khoa_học_sự_sống,1,5,4,Nữ,56,3,1,Nhà_nghiên_cứu_khoa_học,3,Đã_kết_hôn,2909,23159,1,Có,Có,11,3,3,80,0,8,3,3,8,7,3,0
27,Không,Ít_khi_công_tác,591,Nghiên_cứu_và_Phát_triển,2,1,Y_khoa,1,7,1,Nam,40,3,1,Kỹ_thuật_viên_phòng_thí_nghiệm,2,Đã_kết_hôn,3468,16632,9,Có,Không,12,3,4,80,1,6,3,3,2,2,2,2
32,Không,Thường_xuyên_công_tác,1005,Nghiên_cứu_và_Phát_triển,2,2,Khoa_học_sự_sống,1,8,4,Nam,79,3,1,Kỹ_thuật_viên_phòng_thí_nghiệm,4,Độc_thân,3068,11864,0,Có,Không,13,3,3,80,0,8,2,2,7,7,3,6
59,Không,Ít_khi_công_tác,1324,Nghiên_cứu_và_Phát_triển,3,3,Y_khoa,1,10,3,Nữ,81,4,1,Kỹ_thuật_viên_phòng_thí_nghiệm,1,Đã_kết_hôn,2670,9964,4,Có,Có,20,4,1,80,3,12,3,2,1,0,0,0
30,Không,Ít_khi_công_tác,1358,Nghiên_cứu_và_Phát_triển,24,1,Khoa_học_sự_sống,1,11,4,Nam,67,3,1,Kỹ_thuật_viên_phòng_thí_nghiệm,3,Ly_hôn,2693,13335,1,Có,Không,22,4,2,80,1,1,2,3,1,0,0,0
38,Không,Thường_xuyên_công_tác,216,Nghiên_cứu_và_Phát_triển,23,3,Khoa_học_sự_sống,1,12,4,Nam,44,2,3,Giám_đốc_sản_xuất,3,Độc_thân,9526,8787,0,Có,Không,21,4,2,80,0,10,2,3,9,7,1,8
36,Không,Ít_khi_công_tác,1299,Nghiên_cứu_và_Phát_triển,27,3,Y_khoa,1,13,3,Nam,94,3,2,Đại_diện_chăm_sóc_sức_khỏe,3,Đã_kết_hôn,5237,16577,6,Có,Không,13,3,2,80,2,17,3,2,7,7,7,7
